"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"stbi__extend_receive","0.000899996","2688000","0.0899281","kip_sequential_soa_profile.exe","stbi__extend_receive","stb_image.h","0x140012f6c"
"ExReleasePushLockEx","0.000799997","4569600","","ntoskrnl.exe","ExReleasePushLockEx","[Unknown]","0x1402842d0"
"[ntoskrnl.exe]","0.000799997","3225600","0.235294","ntoskrnl.exe","[ntoskrnl.exe]","[Unknown]","0"
"func@0x14023b3f0","0.000799997","2150400","0.0909091","ntoskrnl.exe","func@0x14023b3f0","[Unknown]","0x14023b3f0"
"func@0x140006960","0.000799997","14515200","0.395833","atc.sys","func@0x140006960","[Unknown]","0x140006960"
"func@0x1405dfd2c","0.000799997","7526400","0.25","ntoskrnl.exe","func@0x1405dfd2c","[Unknown]","0x1405dfd2c"
"KeAndAffinityEx2","0.000799997","8064000","0.269231","ntoskrnl.exe","KeAndAffinityEx2","[Unknown]","0x1403220c0"
"func@0x140363e30","0.000799997","1612800","0.111111","ntoskrnl.exe","func@0x140363e30","[Unknown]","0x140363e30"
"func@0x140331740","0.000799997","1612800","0.1875","ntoskrnl.exe","func@0x140331740","[Unknown]","0x140331740"
"func@0x14023a1d0","0.000799997","3763200","0.428571","ntoskrnl.exe","func@0x14023a1d0","[Unknown]","0x14023a1d0"
"func@0x14027cf20","0.000799997","4300800","0.291667","ntoskrnl.exe","func@0x14027cf20","[Unknown]","0x14027cf20"
"func@0x140282b40","0.000699997","1612800","0.109375","ntoskrnl.exe","func@0x140282b40","[Unknown]","0x140282b40"
"func@0x1402fd4b0","0.000699997","6988800","0.18","ntoskrnl.exe","func@0x1402fd4b0","[Unknown]","0x1402fd4b0"
"func@0x1402fe9a0","0.000699997","6988800","0.403846","ntoskrnl.exe","func@0x1402fe9a0","[Unknown]","0x1402fe9a0"
"RtlHashUnicodeString","0.000699997","6988800","0.166667","ntoskrnl.exe","RtlHashUnicodeString","[Unknown]","0x14096eab0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000699997","12364800","0.62","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e903"
"func@0x140002700","0.000699997","0","0.0294118","intelppm.sys","func@0x140002700","[Unknown]","0x140002700"
"func@0x140241500","0.000699997","3225600","0.241379","ntoskrnl.exe","func@0x140241500","[Unknown]","0x140241500"
"func@0x1402bd0a0","0.000699997","537600","0.111111","ntoskrnl.exe","func@0x1402bd0a0","[Unknown]","0x1402bd0a0"
"stbiw__jpg_writeBits","0.000699997","1075200","0.416667","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024afb"
"func@0x140242e20","0.000599997","1612800","0.625","ntoskrnl.exe","func@0x140242e20","[Unknown]","0x140242e20"
"func@0x14024fe10","0.000599997","1612800","0.0357143","ntoskrnl.exe","func@0x14024fe10","[Unknown]","0x14024fe10"
"func@0x14030fecd","0.000599997","537600","0.125","ntoskrnl.exe","func@0x14030fecd","[Unknown]","0x14030fecd"
"ExpInterlockedPushEntrySList","0.000599997","3225600","0.205882","ntoskrnl.exe","ExpInterlockedPushEntrySList","[Unknown]","0x1406b51a0"
"func@0x14001ce70","0.000599997","0","0","igdkmdn64.sys","func@0x14001ce70","[Unknown]","0x14001ce70"
"func@0x14027a0b0","0.000599997","537600","0.1","ntoskrnl.exe","func@0x14027a0b0","[Unknown]","0x14027a0b0"
