"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Stores Bound","Load Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x18002e9f0","0.000299999","1075200","3225600","0.333333","0","","","0","0","0","0","0","0","0","3.58402e+09","cng.sys","func@0x18002e9f0","[Unknown]","0x18002e9f0"
"func@0x1406163c0","0.000299999","537600","1075200","0.5","0","","","0","0","0","0","0","0","0","1.79201e+09","atc.sys","func@0x1406163c0","[Unknown]","0x1406163c0"
"func@0x14028451b","0.000299999","1075200","537600","2","0","0","0","1","0","0","0","0","0","0","3.58402e+09","ntoskrnl.exe","func@0x14028451b","[Unknown]","0x14028451b"
"func@0x140293920","0.000299999","1612800","537600","3","0","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140293920","[Unknown]","0x140293920"
"func@0x140363e30","0.000299999","2419200","2150400","1.125","0","0","1","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x140363e30","[Unknown]","0x140363e30"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000299999","2956800","8601600","0.34375","","","","0","0","0","0","0","0","0","9.85604e+09","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e903"
"func@0x1403acc72","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403acc72","[Unknown]","0x1403acc72"
"func@0x1403f1140","0.000199999","1075200","1075200","1","","","","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1403f1140","[Unknown]","0x1403f1140"
"fread_nolock_s","0.000199999","268800","0","","","","","0","0","0","0","0","0","0","1.34401e+09","ucrtbase.dll","fread_nolock_s","[Unknown]","0x18001def0"
"func@0x1800064b0","0.000199999","1881600","3225600","0.583333","","0","","0","0","0","0","0","0","0","9.40804e+09","fltmgr.sys","func@0x1800064b0","[Unknown]","0x1800064b0"
"func@0x140005b40","0.000199999","1344000","0","","0","","","0","0","0","0","0","0","0","6.72003e+09","intelppm.sys","func@0x140005b40","[Unknown]","0x140005b40"
"func@0x14035d230","0.000199999","268800","0","","0","0","1","0","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x14035d230","[Unknown]","0x14035d230"
"ExReleaseFastMutex","0.000199999","268800","1075200","0.25","0","0.1","0.9","0","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","ExReleaseFastMutex","[Unknown]","0x1402bc7d0"
"TlsGetValue","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","0","kernel32.dll","TlsGetValue","[Unknown]","0x180084560"
"func@0x180075280","0.000199999","806400","0","","0","0","1","0","0","0","0","0","0","0","4.03202e+09","atcuf64.dll","func@0x180075280","[Unknown]","0x180075280"
"func@0x1403c2aa0","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403c2aa0","[Unknown]","0x1403c2aa0"
"stbi__jpeg_finish","0.000199999","1612800","6988800","0.230769","0","0","1","0","0","0","0","0","0","0","8.06403e+09","kip_sequential_soa_profile.exe","stbi__jpeg_finish","stb_image.h","0x140013a23"
"func@0x140217670","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","igdkmdn64.sys","func@0x140217670","[Unknown]","0x140217670"
"func@0x1400555c0","0.000199999","537600","1612800","0.333333","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntfs.sys","func@0x1400555c0","[Unknown]","0x1400555c0"
"func@0x180040780","0.000199999","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","1.34401e+09","ntdll.dll","func@0x180040780","[Unknown]","0x180040780"
"ExAcquireSpinLockShared","0.000199999","1612800","537600","3","0","","","","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","ExAcquireSpinLockShared","[Unknown]","0x1402b8500"
"func@0x140612454","0.000199999","537600","1075200","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x140612454","[Unknown]","0x140612454"
"func@0x1402f5bf0","0.000199999","1075200","537600","2","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402f5bf0","[Unknown]","0x1402f5bf0"
"func@0x14024ae29","0.000199999","268800","3763200","0.0714286","","","","0","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x14024ae29","[Unknown]","0x14024ae29"
"KeReleaseSpinLock","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","KeReleaseSpinLock","[Unknown]","0x140273ad0"
"func@0x1402a0f93","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402a0f93","[Unknown]","0x1402a0f93"
"func@0x14025ee60","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x14025ee60","[Unknown]","0x14025ee60"
"func@0x180014d60","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","0","bdhkm64.dll","func@0x180014d60","[Unknown]","0x180014d60"
"ExReleaseSpinLockSharedFromDpcLevel","0.000199999","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","ExReleaseSpinLockSharedFromDpcLevel","[Unknown]","0x14032f7e0"
