"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"func@0x140329e30","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x140329e30","[Unknown]","0x140329e30"
"ExAcquireRundownProtectionCacheAwareEx","0.000299999","0","0","220000","0","0","ntoskrnl.exe","ExAcquireRundownProtectionCacheAwareEx","[Unknown]","0x140408170"
"func@0x140329620","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140329620","[Unknown]","0x140329620"
"RtlFormatCurrentUserKeyPath","0.000299999","0","0","0","0","0","ntdll.dll","RtlFormatCurrentUserKeyPath","[Unknown]","0x180018c40"
"func@0x1800413b9","0.000299999","0","0","440000","1100000","0","ntdll.dll","func@0x1800413b9","[Unknown]","0x1800413b9"
"func@0x1800e6230","0.000299999","0","0","0","0","0","ntdll.dll","func@0x1800e6230","[Unknown]","0x1800e6230"
"stbiw__jpg_writeBits","0.000299999","0","0","220000","220000","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024a82"
"func@0x140006ea0","0.000299999","0","0","0","0","0","volsnap.sys","func@0x140006ea0","[Unknown]","0x140006ea0"
"stbiw__jpg_writeBits","0.000299999","0","0","0","0","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024880"
"func@0x1800094a0","0.000299999","0","0","220000","0","0","fltmgr.sys","func@0x1800094a0","[Unknown]","0x1800094a0"
"func@0x1402fe64c","0.000299999","0","0","220000","330000","0","ntoskrnl.exe","func@0x1402fe64c","[Unknown]","0x1402fe64c"
"ExReleaseRundownProtectionCacheAware","0.000299999","0","0","0","0","0","ntoskrnl.exe","ExReleaseRundownProtectionCacheAware","[Unknown]","0x14022ab80"
"ExAcquireRundownProtectionCacheAware","0.000299999","0","0","0","0","0","ntoskrnl.exe","ExAcquireRundownProtectionCacheAware","[Unknown]","0x1402387b0"
"ExAllocatePool2","0.000299999","0","0","0","0","0","ntoskrnl.exe","ExAllocatePool2","[Unknown]","0x140b740f0"
"func@0x140344f90","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140344f90","[Unknown]","0x140344f90"
"func@0x1404e0010","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1404e0010","[Unknown]","0x1404e0010"
"func@0x1403b24c0","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1403b24c0","[Unknown]","0x1403b24c0"
"func@0x1404e0fa8","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x1404e0fa8","[Unknown]","0x1404e0fa8"
"func@0x1402fdfc0","0.000299999","0","0","440000","0","0","ntoskrnl.exe","func@0x1402fdfc0","[Unknown]","0x1402fdfc0"
"func@0x1402990b0","0.000299999","0","0","220000","110000","0","ntoskrnl.exe","func@0x1402990b0","[Unknown]","0x1402990b0"
"func@0x14029b78c","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14029b78c","[Unknown]","0x14029b78c"
"ObfReferenceObjectWithTag","0.000299999","0","0","0","0","0","ntoskrnl.exe","ObfReferenceObjectWithTag","[Unknown]","0x1403150c0"
"func@0x14030fecd","0.000299999","0","0","440000","110000","0","ntoskrnl.exe","func@0x14030fecd","[Unknown]","0x14030fecd"
"IoGetStackLimits","0.000299999","0","0","0","110000","0","ntoskrnl.exe","IoGetStackLimits","[Unknown]","0x140236ae0"
"func@0x14020c860","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14020c860","[Unknown]","0x14020c860"
"func@0x14030fd30","0.000299999","0","0","0","110000","0","ntoskrnl.exe","func@0x14030fd30","[Unknown]","0x14030fd30"
"func@0x14022e0a0","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14022e0a0","[Unknown]","0x14022e0a0"
