"CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"0.000899996","1","0","900000","1000000","0","ntoskrnl.exe","func@0x1403ce510","[Unknown]","0x1403ce510"
"0.000899996","0","0","400000","300000","0","ntoskrnl.exe","func@0x1402daee4","[Unknown]","0x1402daee4"
"0.000899996","0","0","2100000","1100000","0","ntoskrnl.exe","func@0x1403231ea","[Unknown]","0x1403231ea"
"0.000899996","0.5","0","700000","300000","0","ntoskrnl.exe","func@0x1402be310","[Unknown]","0x1402be310"
"0.000899996","0","0","1800000","700000","0","ntoskrnl.exe","func@0x140323a50","[Unknown]","0x140323a50"
"0.000899996","0","0","2900000","3700000","0","ntoskrnl.exe","func@0x14043afa8","[Unknown]","0x14043afa8"
"0.000899996","0","0","500000","200000","0","ntoskrnl.exe","func@0x1402886a0","[Unknown]","0x1402886a0"
"0.000899996","0","0","100000","200000","0","ntoskrnl.exe","func@0x14028ff40","[Unknown]","0x14028ff40"
"0.000899996","0","0","900000","2600000","0","ntdll.dll","RtlTryEnterCriticalSection","[Unknown]","0x180015cc0"
"0.000899996","0.5","0","800000","500000","0","ntoskrnl.exe","func@0x1402e1d80","[Unknown]","0x1402e1d80"
"0.000899996","0.25","0","800000","700000","0","ntoskrnl.exe","func@0x14028f400","[Unknown]","0x14028f400"
"0.000899996","0","0","400000","300000","0","ntoskrnl.exe","func@0x1402dadb0","[Unknown]","0x1402dadb0"
"0.000799997","","0","300000","300000","0","ntoskrnl.exe","func@0x14024e1d0","[Unknown]","0x14024e1d0"
"0.000799997","0","0","400000","400000","0","kip_sequential_profile.exe","stbi__jpeg_finish(struct stbi__jpeg *)","stb_image.h","0x14001b1f0"
"0.000799997","0","0","100000","0","0","ntoskrnl.exe","func@0x140289d18","[Unknown]","0x140289d18"
"0.000799997","0","0","1800000","1100000","0","ntoskrnl.exe","func@0x1403d0a02","[Unknown]","0x1403d0a02"
"0.000799997","0","0","1300000","1100000","0","ntoskrnl.exe","func@0x1402698f0","[Unknown]","0x1402698f0"
"0.000799997","0.333333","0","300000","1000000","0","ntoskrnl.exe","func@0x1402c0840","[Unknown]","0x1402c0840"
"0.000799997","1","0","600000","600000","50020","ntoskrnl.exe","func@0x140241357","[Unknown]","0x140241357"
"0.000799997","0","0","4200000","3800000","0","ntoskrnl.exe","func@0x1402184a0","[Unknown]","0x1402184a0"
"0.000699997","0","0","100000","100000","0","ntoskrnl.exe","func@0x1402b399d","[Unknown]","0x1402b399d"
"0.000699997","0","0","1000000","200000","0","fltmgr.sys","func@0x1c0007d30","[Unknown]","0x1c0007d30"
"0.000699997","1","0","1500000","800000","0","ntdll.dll","NtAllocateVirtualMemory","[Unknown]","0x1801620c0"
"0.000699997","0","0","1100000","700000","0","ntoskrnl.exe","func@0x1402c57a0","[Unknown]","0x1402c57a0"
"0.000699997","0","0","1500000","1700000","50020","ntoskrnl.exe","KeGetCurrentIrql","[Unknown]","0x14043fcc0"
"0.000699997","","0","0","0","0","ntoskrnl.exe","func@0x1403e6700","[Unknown]","0x1403e6700"
"0.000699997","0","0","100000","0","0","ntoskrnl.exe","func@0x1402787f7","[Unknown]","0x1402787f7"
"0.000699997","","0","2200000","500000","0","ntoskrnl.exe","func@0x1403cfe70","[Unknown]","0x1403cfe70"
"0.000699997","","0","200000","100000","0","ntoskrnl.exe","KeSetEvent","[Unknown]","0x1402c2e80"
"0.000699997","0","0","600000","1600000","0","kip_sequential_profile.exe","std::_Destroy_range","xmemory","0x1400217cf"
"0.000699997","0","0","200000","300000","0","ntoskrnl.exe","func@0x1402f9469","[Unknown]","0x1402f9469"
"0.000699997","0","0","600000","200000","0","nllsp.sys","func@0x14003379b","[Unknown]","0x14003379b"
"0.000699997","0","0","800000","500000","0","kip_sequential_profile.exe","stbi__addints_valid(int, int)","stb_image.h","0x14001c3d0"
"0.000699997","","0","700000","100000","0","ntoskrnl.exe","func@0x140267a77","[Unknown]","0x140267a77"
"0.000599997","0","0","800000","700000","0","ntoskrnl.exe","func@0x1402adde6","[Unknown]","0x1402adde6"
"0.000599997","0","0","600000","0","0","ntoskrnl.exe","KeReleaseSpinLock","[Unknown]","0x14034d7e0"
"0.000599997","0","0","1100000","2200000","0","ntoskrnl.exe","func@0x14034b740","[Unknown]","0x14034b740"
"0.000599997","","0","100000","100000","0","ntoskrnl.exe","func@0x14027c940","[Unknown]","0x14027c940"
"0.000599997","0","0","900000","300000","0","ntoskrnl.exe","KeIsEmptyAffinityEx","[Unknown]","0x140436110"
"0.000599997","0","0","1100000","1000000","0","ntoskrnl.exe","func@0x1402351b0","[Unknown]","0x1402351b0"
"0.000599997","0","0","1400000","400000","0","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x140022cb8"
"0.000599997","0","0","1400000","100000","0","ntdll.dll","func@0x180053940","[Unknown]","0x180053940"
"0.000599997","0","0","1000000","1400000","50020","ntoskrnl.exe","func@0x140241e40","[Unknown]","0x140241e40"
"0.000599997","0","0","100000","0","0","ntoskrnl.exe","PsGetCurrentProcessId","[Unknown]","0x140449180"
"0.000599997","0","0","300000","200000","0","ntoskrnl.exe","func@0x140242376","[Unknown]","0x140242376"
"0.000599997","0","0","200000","400000","0","ntoskrnl.exe","func@0x140bb4780","[Unknown]","0x140bb4780"
"0.000599997","0.333333","0","800000","700000","0","ntoskrnl.exe","func@0x1402267c0","[Unknown]","0x1402267c0"
"0.000499998","1","0","0","200000","0","ntoskrnl.exe","func@0x140350b90","[Unknown]","0x140350b90"
"0.000499998","0","0","700000","500000","0","ntoskrnl.exe","func@0x140351610","[Unknown]","0x140351610"
"0.000499998","0","0","1000000","400000","0","ntoskrnl.exe","func@0x1404177a4","[Unknown]","0x1404177a4"
"0.000499998","0","0","0","0","0","igdkmdn64.sys","func@0x14001ce70","[Unknown]","0x14001ce70"
"0.000499998","0","0","100000","100000","0","ucrtbase.dll","fread_nolock_s","[Unknown]","0x180038810"
"0.000499998","0","0","3500000","1500000","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x140022cb4"
"0.000499998","0","0","0","0","0","ntoskrnl.exe","ExFreePoolWithTag","[Unknown]","0x140b69cd0"
