"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x140253a9c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140253a9c","[Unknown]","0x140253a9c"
"func@0x140228000","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140228000","[Unknown]","0x140228000"
"func@0x14026853c","0","268800","1881600","0.142857","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14026853c","[Unknown]","0x14026853c"
"func@0x1408566b0","0","0","537600","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408566b0","[Unknown]","0x1408566b0"
"func@0x140275c20","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140275c20","[Unknown]","0x140275c20"
"func@0x1402b1cc0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402b1cc0","[Unknown]","0x1402b1cc0"
"func@0x1402af070","0","537600","268800","2","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402af070","[Unknown]","0x1402af070"
"func@0x14027d6ca","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14027d6ca","[Unknown]","0x14027d6ca"
"func@0x1402c2fb1","0","0","0","0","0","0","","","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c2fb1","[Unknown]","0x1402c2fb1"
"func@0x140856e00","0","537600","268800","2","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140856e00","[Unknown]","0x140856e00"
"func@0x140288471","0","268800","537600","0.5","","0","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140288471","[Unknown]","0x140288471"
"func@0x1402501f0","0","1075200","537600","2","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402501f0","[Unknown]","0x1402501f0"
"func@0x1402eac10","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402eac10","[Unknown]","0x1402eac10"
"func@0x1402c92d0","0","537600","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402c92d0","[Unknown]","0x1402c92d0"
"func@0x1402bae40","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402bae40","[Unknown]","0x1402bae40"
"func@0x14029a050","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14029a050","[Unknown]","0x14029a050"
"func@0x14096dd20","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14096dd20","[Unknown]","0x14096dd20"
"func@0x1404827a0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404827a0","[Unknown]","0x1404827a0"
"func@0x140287120","0","0","1075200","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140287120","[Unknown]","0x140287120"
"func@0x140299d5c","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140299d5c","[Unknown]","0x140299d5c"
"KeLeaveGuardedRegion","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","KeLeaveGuardedRegion","[Unknown]","0x14036ba10"
"func@0x1408c9e67","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408c9e67","[Unknown]","0x1408c9e67"
"func@0x14036f0a0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14036f0a0","[Unknown]","0x14036f0a0"
"func@0x140244110","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140244110","[Unknown]","0x140244110"
"func@0x14032faf0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14032faf0","[Unknown]","0x14032faf0"
"func@0x140433160","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140433160","[Unknown]","0x140433160"
"func@0x140269b10","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140269b10","[Unknown]","0x140269b10"
"func@0x1402dcb6f","0","0","806400","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402dcb6f","[Unknown]","0x1402dcb6f"
"func@0x1402e9080","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402e9080","[Unknown]","0x1402e9080"
"func@0x140268fc0","0","537600","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140268fc0","[Unknown]","0x140268fc0"
"func@0x1402b1d40","0","806400","537600","1.5","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402b1d40","[Unknown]","0x1402b1d40"
"func@0x140309e2f","0","537600","268800","2","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140309e2f","[Unknown]","0x140309e2f"
"func@0x14013cef0","0","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14013cef0","[Unknown]","0x14013cef0"
"func@0x140045270","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140045270","[Unknown]","0x140045270"
"func@0x140318110","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140318110","[Unknown]","0x140318110"
"func@0x140055140","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140055140","[Unknown]","0x140055140"
"func@0x14004af80","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14004af80","[Unknown]","0x14004af80"
"func@0x140021e30","0","268800","0","","0","","","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140021e30","[Unknown]","0x140021e30"
"func@0x1408e78a5","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1408e78a5","[Unknown]","0x1408e78a5"
"func@0x1400563b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1400563b0","[Unknown]","0x1400563b0"
"func@0x14004ad80","0","268800","0","","0","","","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14004ad80","[Unknown]","0x14004ad80"
"func@0x14014ce00","0","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14014ce00","[Unknown]","0x14014ce00"
"func@0x14012fb90","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14012fb90","[Unknown]","0x14012fb90"
"func@0x14034b7a0","0","0","0","0","","0","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14034b7a0","[Unknown]","0x14034b7a0"
"func@0x140042e40","0","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140042e40","[Unknown]","0x140042e40"
"func@0x140142530","0","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140142530","[Unknown]","0x140142530"
"func@0x140104780","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140104780","[Unknown]","0x140104780"
"func@0x140181a00","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140181a00","[Unknown]","0x140181a00"
"func@0x140222ae8","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140222ae8","[Unknown]","0x140222ae8"
"func@0x1403279f0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1403279f0","[Unknown]","0x1403279f0"
"func@0x140425550","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140425550","[Unknown]","0x140425550"
"func@0x1400503c0","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1400503c0","[Unknown]","0x1400503c0"
"func@0x140157aa0","0","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140157aa0","[Unknown]","0x140157aa0"
"func@0x140057ce0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140057ce0","[Unknown]","0x140057ce0"
"func@0x14004ef50","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14004ef50","[Unknown]","0x14004ef50"
"func@0x1402b8190","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1402b8190","[Unknown]","0x1402b8190"
"func@0x14016b410","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14016b410","[Unknown]","0x14016b410"
"func@0x14023ccf0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14023ccf0","[Unknown]","0x14023ccf0"
"func@0x140168f20","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140168f20","[Unknown]","0x140168f20"
"func@0x1402a8f30","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1402a8f30","[Unknown]","0x1402a8f30"
"func@0x140037e40","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140037e40","[Unknown]","0x140037e40"
"func@0x1402b7ed0","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1402b7ed0","[Unknown]","0x1402b7ed0"
"func@0x1401754e0","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1401754e0","[Unknown]","0x1401754e0"
"func@0x140149ed0","0","268800","0","","0","","","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140149ed0","[Unknown]","0x140149ed0"
"func@0x140260dd0","0","537600","806400","0.666667","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140260dd0","[Unknown]","0x140260dd0"
"func@0x1401ba980","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1401ba980","[Unknown]","0x1401ba980"
"func@0x1402be7b0","0","0","0","0","0","0.1","0.9","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1402be7b0","[Unknown]","0x1402be7b0"
"func@0x14013c910","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14013c910","[Unknown]","0x14013c910"
"func@0x1401af8f0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1401af8f0","[Unknown]","0x1401af8f0"
"func@0x14038a1b0","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14038a1b0","[Unknown]","0x14038a1b0"
"func@0x140389980","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x140389980","[Unknown]","0x140389980"
"func@0x1401aea20","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1401aea20","[Unknown]","0x1401aea20"
"func@0x140328260","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140328260","[Unknown]","0x140328260"
"func@0x14001cb10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14001cb10","[Unknown]","0x14001cb10"
"func@0x14003bc10","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14003bc10","[Unknown]","0x14003bc10"
"func@0x140196000","0","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140196000","[Unknown]","0x140196000"
"func@0x14017ce90","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14017ce90","[Unknown]","0x14017ce90"
"func@0x140389580","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140389580","[Unknown]","0x140389580"
"func@0x14016b3b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14016b3b0","[Unknown]","0x14016b3b0"
"func@0x140159230","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140159230","[Unknown]","0x140159230"
"func@0x140013fe0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140013fe0","[Unknown]","0x140013fe0"
"func@0x1402b2de0","0","268800","0","","0","","","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1402b2de0","[Unknown]","0x1402b2de0"
"func@0x14013bf80","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14013bf80","[Unknown]","0x14013bf80"
"func@0x14019d220","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14019d220","[Unknown]","0x14019d220"
"func@0x140266a30","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140266a30","[Unknown]","0x140266a30"
"func@0x14003e770","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14003e770","[Unknown]","0x14003e770"
"func@0x140137350","0","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140137350","[Unknown]","0x140137350"
"func@0x14030b420","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14030b420","[Unknown]","0x14030b420"
"func@0x140231e91","0","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140231e91","[Unknown]","0x140231e91"
"func@0x14039fbc5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14039fbc5","[Unknown]","0x14039fbc5"
"func@0x140266120","0","0","268800","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140266120","[Unknown]","0x140266120"
"func@0x14021a8b0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14021a8b0","[Unknown]","0x14021a8b0"
"func@0x1400a0ca0","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1400a0ca0","[Unknown]","0x1400a0ca0"
"func@0x1402bea40","0","537600","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1402bea40","[Unknown]","0x1402bea40"
"func@0x14017ec00","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14017ec00","[Unknown]","0x14017ec00"
"func@0x1403210a0","0","268800","0","","0","","","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1403210a0","[Unknown]","0x1403210a0"
"func@0x1400a50d0","0","537600","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x1400a50d0","[Unknown]","0x1400a50d0"
"func@0x140345cd0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x140345cd0","[Unknown]","0x140345cd0"
"func@0x1400e2c40","0","0","0","0","0","0","1","0","0","0","0","0","0","0","nvlddmkm.sys","func@0x1400e2c40","[Unknown]","0x1400e2c40"
"func@0x14030e740","0","0","0","0","0","","","0","0","0","0","0","0","0","netwtw10.sys","func@0x14030e740","[Unknown]","0x14030e740"
"func@0x1400822d0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x1400822d0","[Unknown]","0x1400822d0"
"func@0x140284d70","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x140284d70","[Unknown]","0x140284d70"
"[netwtw10.sys]","0","0","0","0","0","","","0","0","0","0","0","0","0","netwtw10.sys","[netwtw10.sys]","[Unknown]","0"
"func@0x141916340","0","0","0","0","0","0","1","0","0","0","0","0","0","0","nvlddmkm.sys","func@0x141916340","[Unknown]","0x141916340"
"func@0x14011afc0","0","0","0","0","0","","","0","0","0","0","0","0","0","netwtw10.sys","func@0x14011afc0","[Unknown]","0x14011afc0"
"func@0x1401a3a40","0","268800","0","","0","0","1","0","0","0","0","0","0","","netwtw10.sys","func@0x1401a3a40","[Unknown]","0x1401a3a40"
"func@0x140293c10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x140293c10","[Unknown]","0x140293c10"
"func@0x14013d080","0","268800","0","","0","0","1","0","0","0","0","0","0","","netwtw10.sys","func@0x14013d080","[Unknown]","0x14013d080"
"func@0x1400656f0","0","0","0","0","0","","","0","0","0","0","0","0","0","netwtw10.sys","func@0x1400656f0","[Unknown]","0x1400656f0"
"func@0x1400a2db0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x1400a2db0","[Unknown]","0x1400a2db0"
"func@0x140078e20","0","268800","0","","0","0","1","0","0","0","0","0","0","","netwtw10.sys","func@0x140078e20","[Unknown]","0x140078e20"
"func@0x1401f88d0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x1401f88d0","[Unknown]","0x1401f88d0"
"func@0x14004ad20","0","268800","0","","0","0","1","0","0","0","0","0","0","","netwtw10.sys","func@0x14004ad20","[Unknown]","0x14004ad20"
"func@0x14030740f","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x14030740f","[Unknown]","0x14030740f"
"func@0x1401e75a0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","netwtw10.sys","func@0x1401e75a0","[Unknown]","0x1401e75a0"
"func@0x14016b5c0","0","268800","0","","0","0","1","0","0","0","0","0","0","","igdkmdn64.sys","func@0x14016b5c0","[Unknown]","0x14016b5c0"
"func@0x1c014b100","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c014b100","[Unknown]","0x1c014b100"
"func@0x1c0193080","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0193080","[Unknown]","0x1c0193080"
"func@0x1c0015a70","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0015a70","[Unknown]","0x1c0015a70"
"func@0x1c0295dc0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0295dc0","[Unknown]","0x1c0295dc0"
"func@0x1c0014c90","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0014c90","[Unknown]","0x1c0014c90"
"func@0x1c014b6d3","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c014b6d3","[Unknown]","0x1c014b6d3"
"func@0x1c01b5c30","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c01b5c30","[Unknown]","0x1c01b5c30"
"func@0x1c011ac90","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c011ac90","[Unknown]","0x1c011ac90"
"func@0x1c018eac6","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c018eac6","[Unknown]","0x1c018eac6"
"func@0x1c00069b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c00069b0","[Unknown]","0x1c00069b0"
"func@0x1c000ded0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c000ded0","[Unknown]","0x1c000ded0"
"func@0x1c0298bc0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0298bc0","[Unknown]","0x1c0298bc0"
"func@0x1c0193bb0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0193bb0","[Unknown]","0x1c0193bb0"
"func@0x1c0187890","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0187890","[Unknown]","0x1c0187890"
"func@0x1c0132740","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0132740","[Unknown]","0x1c0132740"
"func@0x1c01f6510","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c01f6510","[Unknown]","0x1c01f6510"
"func@0x1c0007750","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0007750","[Unknown]","0x1c0007750"
"stbi__build_huffman","0","268800","0","","0","0","1","0","0","0","0","0","0","","kip_sequential_profile.exe","stbi__build_huffman(struct stbi__huffman *, int *)","stb_image.h","0x140019320"
"func@0x1c0128cb0","0","0","0","0","0","","","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0128cb0","[Unknown]","0x1c0128cb0"
"std::_Vector_val<std::_Simple_types<Pixel> >::_Vector_val","0","0","0","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","std::_Vector_val<std::_Simple_types<Pixel> >::_Vector_val","vector","0x140021ac9"
"func@0x1c0148920","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0148920","[Unknown]","0x1c0148920"
"func@0x1c028819b","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c028819b","[Unknown]","0x1c028819b"
"std::vector<Pixel,std::allocator<Pixel> >::_Buy_nonzero","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::_Buy_nonzero","vector","0x140021593"
"func@0x1c000d9d0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c000d9d0","[Unknown]","0x1c000d9d0"
"func@0x1c018a430","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c018a430","[Unknown]","0x1c018a430"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","0","268800","537600","0.5","0","0","1","0","0","0","0","0","0","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","vector","0x14002311c"
"func@0x1c014b252","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c014b252","[Unknown]","0x1c014b252"
"func@0x1c0174d70","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0174d70","[Unknown]","0x1c0174d70"
"func@0x1c01916c0","0","806400","0","","0","","","0","0","0","0","0","0","","ntfs.sys","func@0x1c01916c0","[Unknown]","0x1c01916c0"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","0","0","0","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","vector","0x1400231f2"
"func@0x1c011d710","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c011d710","[Unknown]","0x1c011d710"
"func@0x1c0192680","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0192680","[Unknown]","0x1c0192680"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","0","537600","537600","1","0","","","0","0","0","0","0","0","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::~vector","vector","0x14000b648"
"func@0x18005aa10","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x18005aa10","[Unknown]","0x18005aa10"
"func@0x180048d8d","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180048d8d","[Unknown]","0x180048d8d"
"func@0x1c01d5e90","0","268800","0","","0","","","0","0","0","0","0","0","","ntfs.sys","func@0x1c01d5e90","[Unknown]","0x1c01d5e90"
"load_jpeg_image","0","268800","1612800","0.166667","0","0","1","0","0","0","0","0","0","","kip_sequential_profile.exe","load_jpeg_image(struct stbi__jpeg *, int *, int *, int *, int)","stb_image.h","0x140019650"
"std::vector<Pixel,std::allocator<Pixel> >::_Buy_raw","0","268800","0","","0","","","0","0","0","0","0","0","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::_Buy_raw","vector","0x140021af3"
"operator new","0","537600","268800","2","0","","","0","0","0","0","0","0","","kip_sequential_profile.exe","operator new(unsigned __int64)","new_scalar.cpp","0x140023ee8"
"func@0x1c0146530","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0146530","[Unknown]","0x1c0146530"
"operator delete","0","0","0","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","operator delete(void *)","delete_scalar.cpp","0x140025bc8"
"func@0x180168340","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x180168340","[Unknown]","0x180168340"
"func@0x180043d90","0","0","0","0","0","","","0","0","0","0","0","0","0","ntdll.dll","func@0x180043d90","[Unknown]","0x180043d90"
"func@0x1c019821f","0","0","0","0","0","","","0","0","0","0","0","0","0","ntfs.sys","func@0x1c019821f","[Unknown]","0x1c019821f"
"func@0x18000f8c0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x18000f8c0","[Unknown]","0x18000f8c0"
"func@0x1c0134f80","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0134f80","[Unknown]","0x1c0134f80"
"RtlFlsGetValue","0","0","0","0","0","","","0","0","0","0","0","0","0","ntdll.dll","RtlFlsGetValue","[Unknown]","0x1800e16a0"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0","0","537600","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x140022ec0"
"func@0x180048786","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180048786","[Unknown]","0x180048786"
"func@0x1800c9b60","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x1800c9b60","[Unknown]","0x1800c9b60"
"func@0x180048bcc","0","537600","0","","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x180048bcc","[Unknown]","0x180048bcc"
"func@0x180048ac6","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntdll.dll","func@0x180048ac6","[Unknown]","0x180048ac6"
"RtlAnsiCharToUnicodeChar","0","537600","1075200","0.5","0","0","1","0","0","0","0","0","0","","ntdll.dll","RtlAnsiCharToUnicodeChar","[Unknown]","0x1800da5e0"
"func@0x180048f17","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180048f17","[Unknown]","0x180048f17"
"std::_Uninitialized_copy","0","268800","0","","0","0","1","0","0","0","0","0","0","","kip_sequential_profile.exe","std::_Uninitialized_copy","xmemory","0x140021a84"
"std::vector<Pixel,std::allocator<Pixel> >::vector","0","0","0","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::vector","vector","0x140021ab0"
"std::vector<Pixel,std::allocator<Pixel> >::_Buy_nonzero","0","268800","0","","0","0","1","0","0","0","0","0","0","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::_Buy_nonzero","vector","0x140021ae6"
"func@0x1c01201f0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntfs.sys","func@0x1c01201f0","[Unknown]","0x1c01201f0"
"func@0x1c0033b90","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntfs.sys","func@0x1c0033b90","[Unknown]","0x1c0033b90"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x140022ece"
