"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"stbi__grow_buffer_unsafe","0.0267999","101337600","125798400","0.805556","0.26087","0.395652","0.256522","0.0869565","0","0","0","0","0","3.78127e+09","kip_sequential_profile.exe","stbi__grow_buffer_unsafe(struct stbi__jpeg *)","stb_image.h","0x14001b870"
"func@0x1406a77e0","0.0244999","91392000","30105600","3.03571","0.0416667","0.3125","0.270833","0.375","0","0","0","0","0","3.7303e+09","ntoskrnl.exe","func@0x1406a77e0","[Unknown]","0x1406a77e0"
"func@0x180036180","0.0238999","81715200","160742400","0.508361","0.694737","0.236842","0.0684211","0","0","0","0","0","0","3.41906e+09","ucrtbase.dll","func@0x180036180","[Unknown]","0x180036180"
"std::_Default_allocator_traits<std::allocator<Pixel> >::construct","0.0236999","90585600","358848000","0.252434","0.580952","0.0857143","0.0952381","0.238095","0","0","0","0","0","3.82219e+09","kip_sequential_profile.exe","std::_Default_allocator_traits<std::allocator<Pixel> >::construct","xmemory","0x1400215e0"
"Pixel::Pixel","0.0224999","90048000","158054400","0.569728","0.416667","0.283333","0","0.333333","0","0","0","0","0","4.00215e+09","kip_sequential_profile.exe","Pixel::Pixel(unsigned char,unsigned char,unsigned char)","Pixel.cpp","0x140023ea0"
"stbiw__jpg_calcBits","0.0204999","76339200","155635200","0.490501","0.482353","0.247059","0.211765","0.0588235","0","0","0","0","0","3.72388e+09","kip_sequential_profile.exe","stbiw__jpg_calcBits(int, unsigned short *)","stb_image_write.h","0x140020de0"
"stbi__idct_simd","0.0200999","77414400","242188800","0.319645","0.752941","0.0823529","0","0.411765","0","0","0","0","0","3.85148e+09","kip_sequential_profile.exe","stbi__idct_simd(unsigned char *, int, short *)","stb_image.h","0x140017490"
"fwrite","0.0196999","63705600","211276800","0.301527","0.509091","0.240909","0.204545","0.0454545","0","0","0","0","0","3.2338e+09","ucrtbase.dll","fwrite","[Unknown]","0x180035f90"
"ImageProcessing::extendEdge","0.0173999","63974400","276326400","0.231518","0.582609","0.0347826","0.33913","0.0434783","0","0","0","0","0","3.67671e+09","kip_sequential_profile.exe","ImageProcessing::extendEdge(class Image const &,unsigned int)","ImageProcessing.cpp","0x140022af0"
"std::_Uninitialized_backout_al<std::allocator<Pixel> >::_Emplace_back","0.0166999","68812800","311001600","0.221262","0.566667","0.0666667","0.283333","0.0833333","0","0","0","0","0","4.12054e+09","kip_sequential_profile.exe","std::_Uninitialized_backout_al<std::allocator<Pixel> >::_Emplace_back","xmemory","0x140021b40"
"func@0x180036080","0.0151999","52147200","155366400","0.33564","0.72","0.29","0","0.4","0","0","0","0","0","3.43075e+09","ucrtbase.dll","func@0x180036080","[Unknown]","0x180036080"
"func@0x140218a20","0.0149999","50803200","54297600","0.935644","0.2","0.354545","0","0.727273","0","0","0","0","0","3.38689e+09","ntoskrnl.exe","func@0x140218a20","[Unknown]","0x140218a20"
"ExpInterlockedPopEntrySList","0.0149999","66124800","31449600","2.10256","0.0714286","0.178571","0","1","0","0","0","0","0","4.40834e+09","ntoskrnl.exe","ExpInterlockedPopEntrySList","[Unknown]","0x1406ae280"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.0136999","47308800","69350400","0.682171","0.155556","0.444444","0.4","0","0","0","0","0","0","3.45321e+09","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x1400223e2"
"func@0x1402dfb70","0.0133999","53222400","90854400","0.585799","0.219048","0.0428571","0.309524","0.428571","0","0","0","0","0","3.97184e+09","ntoskrnl.exe","func@0x1402dfb70","[Unknown]","0x1402dfb70"
"func@0x1402bfac0","0.0130999","52147200","84672000","0.615873","0.285714","0.05","0","0.857143","0","0","0","0","0","3.98072e+09","ntoskrnl.exe","func@0x1402bfac0","[Unknown]","0x1402bfac0"
"func@0x1406add80","0.0129999","52953600","51340800","1.03141","0.2","0.0153846","0","0.923077","0","0","0","0","0","4.07337e+09","ntoskrnl.exe","func@0x1406add80","[Unknown]","0x1406add80"
